Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2010,72000,CNG,Manual,1,26.6,998,58.16,5.0,2100.0
2015,41000,Diesel,Manual,1,19.67,1582,126.2,5.0,15000.0
2011,46000,Petrol,Manual,1,18.2,1199,88.7,5.0,5400.0
2012,87000,Diesel,Manual,1,20.77,1248,88.76,7.0,7200.000000000001
2013,40670,Diesel,Automatic,2,15.2,1968,140.8,5.0,21287.999999999996
2012,75000,LPG,Manual,1,21.1,814,55.2,5.0,2819.9999999999995
2013,86999,Diesel,Manual,1,23.08,1461,63.1,5.0,4200.0
2016,36000,Diesel,Automatic,1,11.36,2755,171.5,8.0,21000.0
2013,64430,Diesel,Manual,1,20.54,1598,103.6,5.0,6240.0
2012,65932,Diesel,Manual,2,22.3,1248,74,5.0,2340.0
2018,25692,Petrol,Manual,1,21.56,1462,103.25,5.0,11940.0
2012,60000,Petrol,Automatic,1,16.8,1497,116.3,5.0,5388.0
2015,64424,Diesel,Manual,1,25.2,1248,74,5.0,6720.0
2014,72000,Diesel,Automatic,1,12.7,2179,187.7,5.0,32400.0
2012,85000,Diesel,Automatic,2,0.0,2179,115,5.0,21000.0
2014,110000,Diesel,Manual,1,13.5,2477,175.56,7.0,18000.0
2016,58950,Diesel,Manual,1,25.8,1498,98.6,5.0,6480.0
2017,25000,Diesel,Manual,1,28.4,1248,74,5.0,7188.0
2014,77469,Diesel,Manual,1,20.45,1461,83.8,5.0,7608.0
2014,78500,Diesel,Automatic,1,14.84,2143,167.62,5.0,33600.0
2014,32982,Diesel,Automatic,1,22.69,1995,190,5.0,22260.0
2015,55392,Diesel,Manual,2,23.65,1248,88.5,5.0,9900.0
2015,55985,Petrol,Automatic,1,13.53,1984,177.01,5.0,28200.000000000007
2010,45807,Petrol,Manual,1,18.5,1197,80,5.0,2244.0
2010,33000,Petrol,Automatic,1,14.4,1598,103.6,5.0,3420.0
2012,51920,Petrol,Manual,1,16.8,1497,116.3,5.0,5100.0
2012,54000,Diesel,Manual,1,23.08,1461,63.1,5.0,5100.0
2013,54000,Petrol,Manual,2,20.92,998,67.1,5.0,3300.0
2018,37430,Petrol,Manual,1,17.5,1199,88.7,5.0,11880.0
2013,62000,Diesel,Manual,1,19.01,1461,108.45,5.0,9300.0
2012,87615,Petrol,Manual,1,14.53,1798,138.1,5.0,8100.0
2013,72000,Diesel,Automatic,2,11.18,2696,184,7.0,15000.0
2010,35000,Diesel,Automatic,1,12.4,2698,179.5,5.0,13800.0
2014,55431,Petrol,Manual,2,16.09,1598,103.5,5.0,8376.0
2009,83816,Petrol,Manual,2,14.0,1061,64,5.0,2220.0
2018,50075,Diesel,Manual,1,24.3,1248,88.5,5.0,10356.000000000002
2017,52000,Petrol,Manual,1,18.15,1198,82,5.0,5820.0
2013,85000,Diesel,Automatic,1,11.74,2987,254.8,5.0,33600.0
2013,62000,Diesel,Manual,1,22.07,1199,73.9,5.0,6000.0
2008,90000,Petrol,Manual,2,19.7,796,46.3,5.0,1500.0
2014,19698,Petrol,Manual,1,25.4,624,37.5,4.0,1836.0
2017,22033,Diesel,Manual,1,25.32,1198,77,6.0,6696.000000000001
2014,35487,Petrol,Manual,1,18.5,1197,82.9,5.0,5688.0
2014,46374,Petrol,Automatic,1,14.62,1999,149.92,5.0,10620.0
2016,52001,Petrol,Automatic,1,14.28,1798,138.03,5.0,12132.0
2008,58005,Diesel,Manual,2,14.9,1991,112.2,5.0,5100.0
2012,70704,Petrol,Manual,1,11.25,2694,163.7,7.0,13140.0
2014,75000,Diesel,Manual,1,24.4,1120,71,5.0,4620.000000000001
2012,75800,Diesel,Manual,2,16.55,2498,105,6.0,6600.0
2015,13648,Diesel,Automatic,1,17.11,1968,174.33,5.0,25716.0
2014,52000,Diesel,Manual,1,22.9,1248,74,5.0,5100.0
2014,53000,Diesel,Manual,1,17.8,1248,75,5.0,3960.0
2013,65650,Diesel,Manual,1,28.4,1248,74,5.0,4620.000000000001
2015,54000,Petrol,Manual,3,18.9,1197,82,5.0,4320.0
2015,39000,Petrol,Manual,1,15.04,1598,103.2,5.0,4788.0
2017,16542,Petrol,Manual,1,25.17,799,53.3,5.0,3960.0
2010,32000,Petrol,Manual,1,20.36,1197,78.9,5.0,2484.0
2010,121812,Diesel,Automatic,1,13.29,1995,147.6,5.0,9300.0
2010,39300,Petrol,Manual,1,18.2,998,67.1,5.0,2700.0
2017,22000,Diesel,Manual,1,13.68,2393,147.8,8.0,19800.0
2010,72000,Diesel,Manual,1,20.0,1399,68,5.0,3300.0
2015,58000,Petrol,Automatic,1,11.74,1796,186,5.0,32040.0
2011,65000,Diesel,Manual,2,15.8,2148,170,5.0,12000.0
2016,178000,Diesel,Manual,1,25.0,1396,69,5.0,3000.0
2012,65664,Diesel,Automatic,1,16.55,1968,140,5.0,16200.0
2007,63000,Petrol,Automatic,2,16.4,1497,78,5.0,2220.0
2019,15369,Diesel,Automatic,1,0.0,1950,194,5.0,42804.0
2016,63000,Diesel,Manual,1,24.52,1248,88.5,7.0,9780.0
2018,13000,Diesel,Manual,1,22.1,1396,88.7,5.0,12600.000000000002
2008,73000,Petrol,Automatic,1,8.5,4806,500,5.0,17400.000000000004
