Selling_Price,Transmission,Selling_type,Owner,Year,Car_Name,Present_Price,Fuel_Type,Driven_kms
8.65,Manual,Dealer,0,2015,city,13.6,Petrol,24800
0.78,Manual,Individual,0,2017,Yamaha FZ S V 2.0,0.84,Petrol,5000
0.48,Manual,Individual,0,2015,Yamaha FZ S V 2.0,0.84,Petrol,23000
5.25,Manual,Dealer,0,2015,grand i10,5.7,Petrol,24678
0.55,Manual,Individual,0,2015,Yamaha FZ S V 2.0,0.84,Petrol,58000
3.15,Manual,Dealer,0,2016,eon,4.43,Petrol,15000
0.3,Manual,Individual,0,2016,Hero Splender Plus,0.48,Petrol,50000
5.85,Manual,Dealer,0,2012,corolla altis,18.61,Petrol,72000
0.5,Manual,Individual,0,2011,TVS Apache RTR 180,0.826,Petrol,6000
4,Manual,Dealer,0,2015,amaze,5.8,Petrol,40023
0.16,Manual,Individual,0,2010,Honda CB twister,0.51,Petrol,33000
6,Manual,Dealer,0,2014,i20,7.6,Diesel,77632
3.95,Manual,Dealer,0,2014,etios liva,6.76,Diesel,71000
14.25,Manual,Dealer,0,2016,corolla altis,20.91,Petrol,12000
0.2,Manual,Individual,0,2008,Bajaj Pulsar 150,0.75,Petrol,60000
7.5,Automatic,Dealer,0,2015,ciaz,9.94,Petrol,15000
0.25,Manual,Individual,1,2008,Bajaj Pulsar 150,0.75,Petrol,26000
4.4,Automatic,Dealer,0,2011,sx4,8.01,Petrol,50000
0.75,Manual,Individual,0,2015,Yamaha FZ 16,0.82,Petrol,18000
0.35,Manual,Individual,0,2003,800,2.28,Petrol,127000
6.1,Manual,Dealer,0,2015,ertiga,7.71,Petrol,26000
3.1,Manual,Dealer,0,2012,i20,6.79,Diesel,52132
0.6,Manual,Individual,0,2012,TVS Apache RTR 160,0.81,Petrol,19000
10.25,Manual,Dealer,0,2016,city,13.6,Petrol,49562
6.6,Manual,Dealer,0,2016,jazz,7.7,Petrol,16002
3,Manual,Dealer,0,2011,swift,4.99,Petrol,20000
5.3,Manual,Dealer,0,2014,brio,6.8,Petrol,16500
4.5,Manual,Dealer,0,2014,amaze,6.4,Petrol,19000
4.95,Manual,Dealer,0,2014,swift,7.49,Diesel,39000
4.35,Manual,Dealer,0,2011,corolla altis,13.74,Petrol,88000
9.25,Manual,Dealer,0,2010,fortuner,20.45,Diesel,59000
33,Automatic,Dealer,0,2017,fortuner,36.23,Diesel,6000
0.6,Manual,Individual,0,2014,Bajaj Pulsar  NS 200,0.99,Petrol,25000
2.65,Manual,Dealer,0,2011,etios liva,5.71,Petrol,43000
7.5,Manual,Dealer,0,2015,city,10,Petrol,27600
7.5,Automatic,Dealer,0,2014,ciaz,12.04,Petrol,15000
1.45,Manual,Individual,0,2017,Bajaj Dominar 400,1.6,Petrol,1200
0.2,Manual,Individual,0,2005,Hero Super Splendor,0.57,Petrol,55000
5.75,Manual,Dealer,0,2017,xcent,7.13,Petrol,12479
7.25,Manual,Dealer,0,2017,ciaz,9.85,Petrol,6900
3.49,Manual,Dealer,0,2005,innova,13.46,Diesel,197176
1.1,Manual,Individual,0,2015,Royal Enfield Classic 350,1.47,Petrol,26000
0.8,Manual,Individual,0,2017,Honda CB Hornet 160R,0.87,Petrol,3000
4.5,Manual,Dealer,0,2012,verna,9.4,Petrol,36100
8.55,Manual,Dealer,0,2015,city,13.09,Diesel,60076
5.11,Automatic,Dealer,0,2013,verna,9.4,Petrol,36198
5.15,Automatic,Dealer,0,2015,grand i10,5.7,Petrol,34797
5.95,Manual,Dealer,0,2013,verna,9.4,Diesel,49000
23,Automatic,Dealer,0,2017,innova,25.39,Diesel,15000
4,Manual,Dealer,0,2015,amaze,7,Petrol,40026
1.15,Manual,Individual,0,2016,Royal Enfield Thunder 350,1.5,Petrol,8700
20.75,Automatic,Dealer,0,2016,innova,25.39,Diesel,29000
3.1,Manual,Dealer,0,2012,ritz,5.98,Diesel,51439
4.1,Manual,Dealer,1,2014,etios g,6.8,Petrol,39485
