Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2015,41000,Diesel,Manual,1,19.67,1582,126.2,5.0,15.0
2011,46000,Petrol,Manual,1,18.2,1199,88.7,5.0,5.4
2012,87000,Diesel,Manual,1,20.77,1248,88.76,7.0,7.2
2013,40670,Diesel,Automatic,2,15.2,1968,140.8,5.0,21.29
2013,86999,Diesel,Manual,1,23.08,1461,63.1,5.0,4.2
2016,36000,Diesel,Automatic,1,11.36,2755,171.5,8.0,21.0
2013,64430,Diesel,Manual,1,20.54,1598,103.6,5.0,6.24
2012,65932,Diesel,Manual,2,22.3,1248,74.0,5.0,2.34
2018,25692,Petrol,Manual,1,21.56,1462,103.25,5.0,11.94
2012,60000,Petrol,Automatic,1,16.8,1497,116.3,5.0,5.39
2015,64424,Diesel,Manual,1,25.2,1248,74.0,5.0,6.72
2014,72000,Diesel,Automatic,1,12.7,2179,187.7,5.0,32.4
2012,85000,Diesel,Automatic,2,0.0,2179,115.0,5.0,21.0
2014,110000,Diesel,Manual,1,13.5,2477,175.56,7.0,18.0
2016,58950,Diesel,Manual,1,25.8,1498,98.6,5.0,6.48
2017,25000,Diesel,Manual,1,28.4,1248,74.0,5.0,7.19
2014,77469,Diesel,Manual,1,20.45,1461,83.8,5.0,7.61
2014,78500,Diesel,Automatic,1,14.84,2143,167.62,5.0,33.6
2014,32982,Diesel,Automatic,1,22.69,1995,190.0,5.0,22.26
2015,55392,Diesel,Manual,2,23.65,1248,88.5,5.0,9.9
2015,55985,Petrol,Automatic,1,13.53,1984,177.01,5.0,28.2
2010,45807,Petrol,Manual,1,18.5,1197,80.0,5.0,2.24
2010,33000,Petrol,Automatic,1,14.4,1598,103.6,5.0,3.42
2012,51920,Petrol,Manual,1,16.8,1497,116.3,5.0,5.1
2012,54000,Diesel,Manual,1,23.08,1461,63.1,5.0,5.1
2013,54000,Petrol,Manual,2,20.92,998,67.1,5.0,3.3
2018,37430,Petrol,Manual,1,17.5,1199,88.7,5.0,11.88
2013,62000,Diesel,Manual,1,19.01,1461,108.45,5.0,9.3
2012,87615,Petrol,Manual,1,14.53,1798,138.1,5.0,8.1
2013,72000,Diesel,Automatic,2,11.18,2696,184.0,7.0,15.0
2010,35000,Diesel,Automatic,1,12.4,2698,179.5,5.0,13.8
2014,55431,Petrol,Manual,2,16.09,1598,103.5,5.0,8.38
2009,83816,Petrol,Manual,2,14.0,1061,64.0,5.0,2.22
2018,50075,Diesel,Manual,1,24.3,1248,88.5,5.0,10.36
2017,52000,Petrol,Manual,1,18.15,1198,82.0,5.0,5.82
2013,85000,Diesel,Automatic,1,11.74,2987,254.8,5.0,33.6
2013,62000,Diesel,Manual,1,22.07,1199,73.9,5.0,6.0
2008,90000,Petrol,Manual,2,19.7,796,46.3,5.0,1.5
2014,19698,Petrol,Manual,1,25.4,624,37.5,4.0,1.84
2017,22033,Diesel,Manual,1,25.32,1198,77.0,6.0,6.7
2014,35487,Petrol,Manual,1,18.5,1197,82.9,5.0,5.69
2014,46374,Petrol,Automatic,1,14.62,1999,149.92,5.0,10.62
2016,52001,Petrol,Automatic,1,14.28,1798,138.03,5.0,12.13
2008,58005,Diesel,Manual,2,14.9,1991,112.2,5.0,5.1
2012,70704,Petrol,Manual,1,11.25,2694,163.7,7.0,13.14
2014,75000,Diesel,Manual,1,24.4,1120,71.0,5.0,4.62
